                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74738,                 1.6426,                 1.0935,                0.98215,                      1,                  0.995,                0.84562,                0.61008,                0.61013,                 1.0229,             0.00027352,             0.00027352,             0.00027352
                      2,                0.72333,                 0.8529,                 1.0581,                0.49506,                    0.5,                0.49626,                0.29775,                 1.7546,                 3.2417,                 1.6457,             0.00054573,             0.00054573,             0.00054573
                      3,                0.79766,                0.87269,                 1.1074,                0.96648,                      1,                  0.995,                  0.796,                0.82388,                0.88734,                 1.3212,             0.00081244,             0.00081244,             0.00081244
                      4,                0.77639,                0.76777,                 1.0744,                0.96648,                      1,                  0.995,                  0.796,                 4.3659,                 73.216,                 3.7892,             0.00080826,             0.00080826,             0.00080826
                      5,                 0.7758,                0.76147,                 1.0742,                0.98203,                      1,                  0.995,                0.92146,                0.40052,                0.49343,                0.95012,             0.00080001,             0.00080001,             0.00080001
                      6,                0.73191,                0.72191,                 1.0584,                0.98177,                      1,                  0.995,                0.84782,                0.58053,                   0.67,                 1.3917,             0.00079177,             0.00079177,             0.00079177
                      7,                0.73429,                 0.7046,                 1.0612,                0.98282,                      1,                  0.995,                 0.8955,                0.40617,                0.36036,                0.92304,             0.00078352,             0.00078352,             0.00078352
                      8,                0.69222,                0.64451,                   1.03,                0.98126,                      1,                  0.995,                0.89925,                0.51516,                0.39417,                0.83657,             0.00077527,             0.00077527,             0.00077527
                      9,                0.67749,                0.63893,                 1.0357,                0.98205,                      1,                  0.995,                0.94783,                0.45988,                0.33611,                0.87032,             0.00076703,             0.00076703,             0.00076703
                     10,                0.66118,                0.61618,                 1.0235,                0.98272,                      1,                  0.995,                0.95137,                0.26253,                0.28206,                0.93233,             0.00075878,             0.00075878,             0.00075878
                     11,                0.61058,                0.55919,                 1.0014,                0.98034,                      1,                  0.995,                 0.8955,                0.43496,                0.39541,                0.88827,             0.00075053,             0.00075053,             0.00075053
                     12,                0.62411,                0.56654,                  1.008,                0.98156,                      1,                  0.995,                  0.995,                0.29264,                0.27927,                0.85868,             0.00074229,             0.00074229,             0.00074229
                     13,                0.62728,                0.57725,                 1.0106,                0.98207,                      1,                  0.995,                 0.8955,                0.35529,                 0.2836,                0.88249,             0.00073404,             0.00073404,             0.00073404
                     14,                0.61507,                0.55686,                0.98983,                0.97028,                      1,                  0.995,                0.67975,                  1.212,                0.54641,                 1.7805,             0.00072579,             0.00072579,             0.00072579
                     15,                0.58675,                0.52152,                0.99875,                0.98017,                      1,                  0.995,                0.85279,                0.70257,                0.49635,                0.97967,             0.00071755,             0.00071755,             0.00071755
                     16,                0.56947,                0.51808,                 0.9813,                0.98198,                      1,                  0.995,                0.92875,                0.42709,                0.29417,                0.89775,              0.0007093,              0.0007093,              0.0007093
                     17,                0.58157,                0.50858,                0.98345,                0.98124,                      1,                  0.995,                 0.7015,                 1.2384,                0.44925,                 1.9806,             0.00070105,             0.00070105,             0.00070105
                     18,                0.55535,                0.49754,                 0.9829,                0.98266,                      1,                  0.995,                0.92257,                 0.3683,                0.33638,                 0.9049,             0.00069281,             0.00069281,             0.00069281
                     19,                0.54874,                0.48924,                0.97251,                0.98203,                      1,                  0.995,                0.95137,                0.29875,                0.22439,                 0.8781,             0.00068456,             0.00068456,             0.00068456
                     20,                0.54882,                0.50151,                0.97819,                0.98233,                      1,                  0.995,                0.94925,                0.39184,                0.29885,                0.86781,             0.00067631,             0.00067631,             0.00067631
                     21,                0.52217,                 0.4691,                0.96012,                 0.9819,                      1,                  0.995,                  0.995,                0.27673,                0.29594,                0.83016,             0.00066807,             0.00066807,             0.00066807
                     22,                 0.5306,                0.48162,                0.96994,                0.98189,                      1,                  0.995,                0.94696,                0.32925,                0.28568,                0.84246,             0.00065982,             0.00065982,             0.00065982
                     23,                 0.5218,                0.45072,                0.96253,                0.98148,                      1,                  0.995,                 0.9501,                0.28954,                0.24555,                0.89521,             0.00065157,             0.00065157,             0.00065157
                     24,                0.52326,                0.45104,                0.96551,                0.97522,                      1,                  0.995,                  0.995,                0.28932,                0.31755,                0.87717,             0.00064333,             0.00064333,             0.00064333
                     25,                0.50312,                0.45507,                 0.9508,                0.98028,                      1,                  0.995,                0.84869,                0.45445,                0.49333,                0.88652,             0.00063508,             0.00063508,             0.00063508
                     26,                0.51963,                0.44263,                0.96134,                0.98254,                      1,                  0.995,                0.94925,                0.39153,                0.25405,                0.84153,             0.00062683,             0.00062683,             0.00062683
                     27,                0.49312,                0.42674,                 0.9461,                0.98075,                      1,                  0.995,                  0.995,                0.24677,                0.28433,                0.82546,             0.00061859,             0.00061859,             0.00061859
                     28,                0.50051,                0.43251,                0.95121,                0.98061,                      1,                  0.995,                  0.995,                0.30308,                 0.2931,                0.85689,             0.00061034,             0.00061034,             0.00061034
                     29,                0.49826,                0.42639,                0.95492,                0.98194,                      1,                  0.995,                  0.995,                0.24044,                 0.2674,                0.80874,             0.00060209,             0.00060209,             0.00060209
                     30,                0.48658,                0.42705,                0.95046,                0.98181,                      1,                  0.995,                  0.995,                0.34322,                0.29281,                0.82337,             0.00059385,             0.00059385,             0.00059385
                     31,                0.48341,                0.40489,                 0.9396,                 0.9802,                      1,                  0.995,                0.92308,                0.31511,                0.30865,                0.82197,              0.0005856,              0.0005856,              0.0005856
                     32,                0.48666,                0.41761,                0.94612,                0.98057,                      1,                  0.995,                  0.995,                0.20988,                0.18969,                0.79155,             0.00057735,             0.00057735,             0.00057735
                     33,                0.46918,                0.41459,                0.93818,                0.98315,                      1,                  0.995,                 0.9501,                0.29045,                0.26634,                0.83547,             0.00056911,             0.00056911,             0.00056911
                     34,                0.47094,                0.41485,                 0.9396,                0.97865,                      1,                  0.995,                  0.995,                0.33074,                0.32078,                0.81615,             0.00056086,             0.00056086,             0.00056086
                     35,                0.45766,                0.40251,                0.93705,                0.98289,                      1,                  0.995,                 0.9501,                0.40991,                0.19303,                 0.8375,             0.00055261,             0.00055261,             0.00055261
                     36,                0.46236,                0.40675,                0.94012,                0.98089,                      1,                  0.995,                  0.912,                0.53953,                0.26939,                0.82571,             0.00054437,             0.00054437,             0.00054437
                     37,                0.45839,                0.39892,                0.93903,                      1,                      1,                  0.995,                0.95775,                0.32127,                0.22452,                0.82023,             0.00053612,             0.00053612,             0.00053612
                     38,                0.44651,                0.38332,                0.92813,                0.98165,                      1,                  0.995,                  0.995,                0.23643,                0.25667,                0.80214,             0.00052787,             0.00052787,             0.00052787
                     39,                0.44542,                0.38632,                0.93961,                0.98173,                      1,                  0.995,                  0.995,                0.29043,                0.21095,                0.82687,             0.00051963,             0.00051963,             0.00051963
                     40,                 0.4419,                0.39977,                0.93446,                      1,                      1,                  0.995,                0.95775,                0.35418,                0.19861,                 0.8204,             0.00051138,             0.00051138,             0.00051138
                     41,                0.42483,                0.37879,                 0.9233,                0.98107,                      1,                  0.995,                0.94864,                0.28155,                0.21527,                0.80853,             0.00050313,             0.00050313,             0.00050313
                     42,                0.42247,                0.36684,                0.91947,                0.98158,                      1,                  0.995,                  0.995,                0.28423,                0.23739,                0.80853,             0.00049489,             0.00049489,             0.00049489
                     43,                0.43501,                0.38169,                0.92116,                0.98235,                      1,                  0.995,                0.95137,                0.42139,                0.20022,                0.80856,             0.00048664,             0.00048664,             0.00048664
                     44,                0.42809,                0.37092,                0.92493,                0.98282,                      1,                  0.995,                 0.9535,                0.28947,                0.20611,                0.78985,             0.00047839,             0.00047839,             0.00047839
                     45,                0.41062,                0.35753,                 0.9181,                0.98153,                      1,                  0.995,                0.95137,                0.29804,                0.21856,                0.79999,             0.00047015,             0.00047015,             0.00047015
                     46,                0.41505,                 0.3672,                0.91607,                0.93445,                      1,                  0.995,                 0.9535,                0.32829,                0.26881,                0.82128,              0.0004619,              0.0004619,              0.0004619
                     47,                0.40787,                0.35043,                 0.9087,                0.98113,                      1,                  0.995,                 0.9501,                0.29678,                0.23923,                0.79634,             0.00045365,             0.00045365,             0.00045365
                     48,                0.41384,                0.36719,                0.92064,                0.98243,                      1,                  0.995,                  0.995,                 0.2684,                0.21693,                 0.8155,             0.00044541,             0.00044541,             0.00044541
                     49,                0.41425,                0.35709,                0.92161,                0.98154,                      1,                  0.995,                  0.995,                0.26781,                 0.1882,                0.78058,             0.00043716,             0.00043716,             0.00043716
                     50,                0.41464,                0.35564,                 0.9167,                0.98271,                      1,                  0.995,                0.94864,                0.51826,                0.28689,                0.84041,             0.00042891,             0.00042891,             0.00042891
                     51,                0.39174,                0.34312,                0.90338,                0.98211,                      1,                  0.995,                  0.995,                0.26237,                0.19658,                0.79043,             0.00042066,             0.00042066,             0.00042066
                     52,                 0.3986,                0.33972,                0.90675,                0.98282,                      1,                  0.995,                  0.995,                0.27759,                0.24136,                0.85026,             0.00041242,             0.00041242,             0.00041242
                     53,                0.39366,                0.33064,                0.90949,                0.98304,                      1,                  0.995,                  0.995,                0.28781,                0.21525,                0.81551,             0.00040417,             0.00040417,             0.00040417
                     54,                0.37833,                0.32195,                0.90384,                0.98219,                      1,                  0.995,                  0.995,                0.27962,                0.24847,                0.79964,             0.00039592,             0.00039592,             0.00039592
                     55,                0.37002,                0.31775,                0.90108,                0.98093,                      1,                  0.995,                0.92389,                0.40634,                0.30576,                 0.8301,             0.00038768,             0.00038768,             0.00038768
                     56,                0.37723,                0.33402,                0.90848,                0.98292,                      1,                  0.995,                  0.995,                0.32004,                 0.2464,                0.80883,             0.00037943,             0.00037943,             0.00037943
                     57,                0.37154,                0.32574,                0.90554,                0.98333,                      1,                  0.995,                 0.9535,                0.48437,                0.22151,                0.83239,             0.00037118,             0.00037118,             0.00037118
                     58,                0.36893,                0.31665,                0.90207,                0.98283,                      1,                  0.995,                  0.995,                0.20924,                0.25429,                0.79831,             0.00036294,             0.00036294,             0.00036294
                     59,                0.36298,                0.33094,                0.90388,                0.98184,                      1,                  0.995,                  0.995,                0.28273,                0.24607,                0.80729,             0.00035469,             0.00035469,             0.00035469
                     60,                0.34589,                0.29353,                0.89409,                      1,                      1,                  0.995,                0.95775,                0.39621,                0.24485,                0.89006,             0.00034644,             0.00034644,             0.00034644
                     61,                0.35541,                0.30999,                0.89544,                      1,                      1,                  0.995,                  0.933,                0.37841,                0.21471,                0.85266,              0.0003382,              0.0003382,              0.0003382
                     62,                0.35762,                0.31115,                0.89183,                0.98263,                      1,                  0.995,                  0.995,                0.27649,                0.22484,                0.78833,             0.00032995,             0.00032995,             0.00032995
                     63,                0.35285,                0.30545,                0.89268,                      1,                      1,                  0.995,                  0.995,                0.32676,                0.24052,                0.81816,              0.0003217,              0.0003217,              0.0003217
                     64,                0.35231,                0.31702,                0.89971,                0.98264,                      1,                  0.995,                  0.995,                 0.3482,                0.22172,                0.81922,             0.00031346,             0.00031346,             0.00031346
                     65,                 0.3422,                0.31187,                0.88958,                0.98259,                      1,                  0.995,                 0.9535,                0.43214,                0.21752,                0.82884,             0.00030521,             0.00030521,             0.00030521
                     66,                0.35005,                0.30711,                 0.8936,                0.98287,                      1,                  0.995,                  0.995,                0.31343,                0.22155,                0.80403,             0.00029696,             0.00029696,             0.00029696
                     67,                0.34701,                0.30195,                0.89781,                      1,                      1,                  0.995,                0.95775,                 0.3507,                0.24313,                0.82842,             0.00028872,             0.00028872,             0.00028872
                     68,                0.32951,                0.29347,                0.88902,                 0.9831,                      1,                  0.995,                  0.995,                 0.2522,                0.23877,                0.83503,             0.00028047,             0.00028047,             0.00028047
                     69,                0.34226,                0.30634,                0.89564,                      1,                      1,                  0.995,                  0.995,                0.34598,                0.24086,                0.83808,             0.00027222,             0.00027222,             0.00027222
                     70,                0.32789,                0.28187,                0.88539,                      1,                      1,                  0.995,                  0.995,                0.24171,                 0.1723,                0.79833,             0.00026398,             0.00026398,             0.00026398
                     71,                0.32527,                 0.2961,                0.89086,                      1,                      1,                  0.995,                0.95775,                0.39525,                0.17732,                0.79935,             0.00025573,             0.00025573,             0.00025573
                     72,                0.31057,                0.27262,                0.88458,                      1,                      1,                  0.995,                  0.995,                0.36134,                 0.2341,                0.82368,             0.00024748,             0.00024748,             0.00024748
                     73,                0.31517,                 0.2814,                0.88943,                0.98251,                      1,                  0.995,                  0.995,                0.25534,                0.17899,                0.78382,             0.00023924,             0.00023924,             0.00023924
                     74,                0.31668,                0.27402,                0.88859,                 0.9826,                      1,                  0.995,                  0.995,                0.27625,                0.14232,                0.77645,             0.00023099,             0.00023099,             0.00023099
                     75,                0.30945,                0.27398,                0.88682,                      1,                      1,                  0.995,                  0.995,                0.34653,                0.20304,                0.80061,             0.00022274,             0.00022274,             0.00022274
                     76,                0.30813,                0.27165,                0.88752,                      1,                      1,                  0.995,                0.95775,                0.34972,                0.28495,                0.82327,              0.0002145,              0.0002145,              0.0002145
                     77,                0.31384,                0.27041,                0.88323,                      1,                      1,                  0.995,                  0.995,                0.30704,                0.20316,                0.79392,             0.00020625,             0.00020625,             0.00020625
                     78,                0.29645,                0.26322,                0.88285,                      1,                      1,                  0.995,                  0.995,                0.34997,                0.22084,                0.81345,               0.000198,               0.000198,               0.000198
                     79,                0.29511,                   0.26,                0.88112,                      1,                      1,                  0.995,                  0.995,                0.31151,                 0.1736,                0.79511,             0.00018976,             0.00018976,             0.00018976
                     80,                0.30017,                0.25933,                0.88458,                      1,                      1,                  0.995,                  0.995,                0.35893,                0.24864,                0.82338,             0.00018151,             0.00018151,             0.00018151
                     81,                0.28764,                0.25299,                 0.8738,                0.98317,                      1,                  0.995,                  0.995,                 0.3146,                0.19715,                0.80216,             0.00017326,             0.00017326,             0.00017326
                     82,                0.30022,                0.26946,                0.88066,                0.98303,                      1,                  0.995,                  0.995,                0.34165,                0.22318,                0.79666,             0.00016502,             0.00016502,             0.00016502
                     83,                0.29332,                0.26294,                0.88468,                0.98263,                      1,                  0.995,                0.94925,                0.35603,                0.18834,                0.79709,             0.00015677,             0.00015677,             0.00015677
                     84,                0.28943,                0.24777,                 0.8782,                0.98225,                      1,                  0.995,                 0.8955,                0.41217,                 0.2095,                0.81282,             0.00014852,             0.00014852,             0.00014852
                     85,                0.28425,                0.24579,                0.87213,                      1,                      1,                  0.995,                0.95775,                0.39114,                0.18839,                0.81435,             0.00014028,             0.00014028,             0.00014028
                     86,                0.29273,                0.25763,                0.87709,                      1,                      1,                  0.995,                  0.995,                0.33294,                0.23023,                0.80335,             0.00013203,             0.00013203,             0.00013203
                     87,                0.28257,                0.25445,                0.87668,                      1,                      1,                  0.995,                0.95775,                0.45483,                0.23572,                0.81909,             0.00012378,             0.00012378,             0.00012378
                     88,                0.27176,                0.23698,                0.86916,                      1,                      1,                  0.995,                  0.995,                0.39582,                0.20695,                0.82483,             0.00011554,             0.00011554,             0.00011554
                     89,                0.26798,                0.23551,                0.87315,                0.98253,                      1,                  0.995,                  0.995,                0.24129,                0.17195,                0.78375,             0.00010729,             0.00010729,             0.00010729
                     90,                0.26795,                 0.2427,                0.87292,                0.98271,                      1,                  0.995,                  0.995,                0.30975,                0.20266,                0.78505,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.23138,                0.19662,                 0.8337,                0.98278,                      1,                  0.995,                0.92344,                0.30402,                0.17931,                0.79382,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.23048,                0.18681,                0.82709,                0.98294,                      1,                  0.995,                0.92875,                0.31897,                0.18776,                0.81702,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.22627,                0.18752,                0.82313,                0.98255,                      1,                  0.995,                  0.995,                0.33016,                0.17144,                0.81296,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.21945,                0.17804,                0.82935,                 0.9832,                      1,                  0.995,                  0.995,                0.29296,                0.18935,                0.79964,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.21145,                0.17762,                0.82918,                0.98292,                      1,                  0.995,                  0.995,                0.35605,                0.16883,                 0.8043,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.21178,                0.17439,                0.82943,                0.98299,                      1,                  0.995,                 0.9535,                0.37046,                0.15494,                 0.8013,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 0.2073,                0.17226,                0.81932,                 0.9829,                      1,                  0.995,                  0.995,                0.33635,                0.18034,                0.80505,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.20975,                 0.1726,                0.82751,                0.98295,                      1,                  0.995,                  0.995,                0.32816,                 0.1596,                0.80725,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.19928,                0.16422,                0.81329,                0.98283,                      1,                  0.995,                  0.995,                0.32011,                0.17213,                0.79761,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.20254,                 0.1655,                0.82513,                0.98293,                      1,                  0.995,                  0.995,                0.32098,                0.16194,                0.80514,             1.6577e-05,             1.6577e-05,             1.6577e-05
